Entry Date;Property type;Tipology;Condition;Condition;Location;Price;Areas (sqm);Û/sqm;Built year;Distance;Latitude;Longitude;Characteristics
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;255000;209,6;1216,60;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;190000;128;1484,38;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;490000;141;3475,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;159000;140;1135,71;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;290000;187;1550,80;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;159000;100;1590,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;175000;243,3;719,28;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;255000;191;1335,08;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;260000;260,4;998,46;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;90000;110;818,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;155000;105;1476,19;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;85000;188;452,13;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;160000;150;1066,67;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;380000;185;2054,05;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;160000;140;1142,86;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;160000;130;1230,77;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha do Carmo;49900;90;554,44;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha do Carmo;325000;320;1015,63;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha do Carmo;85000;229;371,18;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);199000;160;1243,75;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);129000;60;2150,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);299500;222;1349,10;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);95000;157;605,10;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);80000;280;285,71;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);225000;204;1102,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);139000;110;1263,64;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);150000;200;750,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);320000;171,57;1865,13;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);115500;260;444,23;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);69900;75;932,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);148000;80;1850,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;200;650,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);550000;248;2217,74;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);350000;300;1166,67;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);225000;204;1102,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);120000;100;1200,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);260000;210;1238,10;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);100000;67;1492,54;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);128000;64,7;1978,36;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);125000;80;1562,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);125000;72;1736,11;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);75000;75;1000,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);269000;150;1793,33;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);230000;230;1000,00;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);240000;155;1548,39;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);230000;160;1437,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;75;1733,33;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);225000;200;1125,00;;;;;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);340000;195;1743,59;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);95216;123,2;772,86;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);45000;48;937,50;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;56,3;2309,06;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;81;1604,94;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);125000;72;1736,11;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);90000;136;661,76;;;;;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);230000;190;1210,53;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);165000;142;1161,97;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);165000;75;2200,00;;;;;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);125000;70;1785,71;;;;;
21/02/21;Houses;T4;New;New;Aveiro,êlhavo,Gafanha da Encarna‹o;375000;97;3865,98;0 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;375000;97;3865,98;0 Û/sqm;9 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;237000;227;1044,05;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;New;New;Aveiro,êlhavo,Gafanha da Encarna‹o;450000;260;1730,77;0 Û/sqm;7 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,êlhavo,Gafanha da Encarna‹o;240000;144;1666,67;0 Û/sqm;7 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;425000;356;1193,82;1 997 Û/sqm;9 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;459000;239;1920,50;2 010 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;New;New;Aveiro,êlhavo,Gafanha da Encarna‹o;375000;151;2483,44;0 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;399000;362;1102,21;0 Û/sqm;7 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,êlhavo,Gafanha da NazarŽ;280000;200;1400,00;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,êlhavo,Gafanha da NazarŽ;260000;177;1468,93;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,êlhavo,Gafanha da NazarŽ;295000;177;1666,67;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Under Project;Under Project;Aveiro,êlhavo,Gafanha da NazarŽ;285000;177;1610,17;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;235000;513;458,09;1 975 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;280000;295;949,15;0 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;85000;187;454,55;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;210000;233;901,29;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
16/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;700000;181;3867,40;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;260000;260;1000,00;0 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;159000;106;1500,00;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,êlhavo,Gafanha da NazarŽ;675000;463;1457,88;2 020 Û/sqm;9 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;675000;210;3214,29;1 999 Û/sqm;9 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;255000;209;1220,10;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;700000;266;2631,58;0 Û/sqm;7 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;395000;168;2351,19;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;100;1300,00;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,êlhavo,êlhavo (S‹o Salvador);128000;64;2000,00;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Under Construction;Under Construction;Aveiro,êlhavo,êlhavo (S‹o Salvador);189500;140;1353,57;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);95000;65;1461,54;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;70;1857,14;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Renovated;Renovated;Aveiro,êlhavo,êlhavo (S‹o Salvador);139000;64;2171,88;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);320000;171;1871,35;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,êlhavo,êlhavo (S‹o Salvador);135000;90;1500,00;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);290000;227;1277,53;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);165000;65;2538,46;0 Û/sqm;5 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);448000;135;3318,52;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);320000;300;1066,67;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T3;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);265000;204;1299,02;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;56;2321,43;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;Renovated;Renovated;Aveiro,êlhavo,êlhavo (S‹o Salvador);165000;106;1556,60;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;New;New;Aveiro,êlhavo,êlhavo (S‹o Salvador);145000;76;1907,89;2 020 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;New;New;Aveiro,êlhavo,êlhavo (S‹o Salvador);130000;71;1830,99;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);340000;227;1497,80;0 Û/sqm;4 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T4;Used;Used;Aveiro,êlhavo,êlhavo (S‹o Salvador);215000;178;1207,87;2 006 Û/sqm;2 Û/sqm;41 Û/sqm;-9 Û/sqm;
21/02/21;Houses;T2;To Recuperate;To Recuperate;Aveiro,êlhavo,êlhavo (S‹o Salvador);69000;106;650,94;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T5;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;265000;200;1325,00;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;420000;190;2210,53;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T4;New;New;Aveiro,Aveiro,Aradas;395000;250;1580,00;2 021 Û/sqm;2 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T4;Used;Used;Aveiro,Aveiro,Cacia;290000;261;1111,11;2 007 Û/sqm;7 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T4;Used;Used;Aveiro,Aveiro,Eixo e Eirol;260000;232;1120,69;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T3;New;New;Aveiro,Aveiro,Esgueira;198000;178;1112,36;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T3;Under Construction;Under Construction;Aveiro,Aveiro,Aradas;375000;280;1339,29;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,Aveiro,Eixo e Eirol;52000;125;416,00;0 Û/sqm;9 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T6;To Recuperate;To Recuperate;Aveiro,Aveiro,Cacia;175000;376;465,43;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T2;Renovated;Renovated;Aveiro,Aveiro,Esgueira;320000;110;2909,09;0 Û/sqm;3 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T6;Used;Used;Aveiro,êlhavo,Gafanha da NazarŽ;280000;300;933,33;0 Û/sqm;6 Û/sqm;41 Û/sqm;-9 Û/sqm;
13/05/21;Houses;T5;Used;Used;Aveiro,êlhavo,Gafanha da Encarna‹o;210000;143;1468,53;0 Û/sqm;8 Û/sqm;41 Û/sqm;-9 Û/sqm;
